time,hilbert transform,fft without zero padding,fft with zero padding (bin width of 10 mHz),fft with zero padding (bin width of 100 mHz),comparator
0,49140.71324837386,49150.623705642814,49144.11646470281,49142.94214473186,49144.09243048128
8,49142.357005147416,49150.623705642814,49146.23024065054,49145.29078467378,49146.28292217667
16,49145.178005233065,49150.623705642814,49146.23024065054,49145.29078467378,49146.11562121694
24,49141.143448567076,49150.623705642814,49143.17700872605,49142.94214473186,49143.456556730394
32,49143.691251223965,49150.623705642814,49145.29078467378,49145.29078467378,49146.02636799871
40,49143.67366200689,49150.623705642814,49144.58619269121,49145.29078467378,49144.74986948799
48,49141.700740584325,49150.623705642814,49144.35132869702,49145.29078467378,49145.11834791754
56,49141.738628488856,49150.623705642814,49144.35132869702,49145.29078467378,49144.6924037819
64,49141.91569238291,49150.623705642814,49144.58619269121,49145.29078467378,49145.14270006592
72,49144.341048224305,49150.623705642814,49146.934832633124,49147.6394246157,49147.58255675132
80,49147.62387380431,49150.623705642814,49149.98806455762,49149.98806455762,49150.38505264797
88,49149.31748507264,49150.623705642814,49151.39724852277,49152.33670449954,49151.786161496515
96,49148.96420519773,49150.623705642814,49150.6926565402,49149.98806455762,49150.89571842781
104,49147.9136833152,49150.623705642814,49149.98806455762,49149.98806455762,49150.45159093058
112,49147.626146659575,49150.623705642814,49149.75320056343,49149.98806455762,49148.90516400282
120,49145.60684788995,49150.623705642814,49148.109152604084,49147.6394246157,49149.27396836567
128,49145.49025144045,49150.623705642814,49148.34401659827,49147.6394246157,49147.95647659292
136,49147.516690601646,49150.623705642814,49150.22292855181,49149.98806455762,49150.98493067382
144,49144.547964878795,49150.623705642814,49146.934832633124,49147.6394246157,49147.230339589936
152,49142.85258828137,49150.623705642814,49144.821056685396,49145.29078467378,49145.49801572222
160,49144.68396191565,49150.623705642814,49146.23024065054,49145.29078467378,49147.58111026394
168,49145.76534072087,49150.623705642814,49147.87428860989,49147.6394246157,49148.00951532908
176,49146.22485854827,49150.623705642814,49148.109152604084,49147.6394246157,49148.54569516265
184,49145.378602159646,49150.623705642814,49147.6394246157,49147.6394246157,49147.31437549098
192,49145.806811654205,49150.623705642814,49147.6394246157,49147.6394246157,49147.78675340647
200,49146.845196435504,49150.623705642814,49148.81374458667,49149.98806455762,49148.920594037205
208,49145.13638397759,49150.623705642814,49148.109152604084,49147.6394246157,49147.70029969229
216,49143.254809079386,49150.623705642814,49145.760512662164,49145.29078467378,49145.60938666827
224,49141.48338128003,49150.623705642814,49143.88160070863,49142.94214473186,49143.45051519661
232,49144.13210742355,49150.623705642814,49146.934832633124,49147.6394246157,49146.793869824316
240,49145.3837718871,49150.623705642814,49148.34401659827,49147.6394246157,49147.57315458491
248,49146.46021297229,49150.623705642814,49149.04860858085,49149.98806455762,49148.615370469335
256,49143.31826850251,49150.623705642814,49146.46510464475,49147.6394246157,49146.418161969435
264,49143.272484302644,49150.623705642814,49145.760512662164,49145.29078467378,49146.25480352004
272,49144.22254545034,49150.623705642814,49145.760512662164,49145.29078467378,49146.32703774919
280,49140.48415929139,49150.623705642814,49142.0026887551,49142.94214473186,49142.49988458012
288,49139.33773554735,49150.623705642814,49140.82836878413,49140.59350478994,49141.775583763825
296,49139.89479580808,49150.623705642814,49142.0026887551,49142.94214473186,49141.8440469618
304,49142.23042271685,49150.623705642814,49143.17700872605,49142.94214473186,49143.79502644451
312,49141.70744473703,49150.623705642814,49143.17700872605,49142.94214473186,49144.16040582851
320,49142.06488234016,49150.623705642814,49144.11646470281,49142.94214473186,49144.82048647819
328,49142.73186023611,49150.623705642814,49143.17700872605,49142.94214473186,49144.01216196233
336,49142.7832263905,49150.623705642814,49145.52564866797,49145.29078467378,49145.53220791046
344,49140.448411678684,49150.623705642814,49142.70728073767,49142.94214473186,49143.552009056526
352,49139.04577801216,49150.623705642814,49141.063232778324,49140.59350478994,49141.704493916994
360,49138.74503369668,49150.623705642814,49141.7678247609,49140.59350478994,49141.321510445
368,49140.63428456217,49150.623705642814,49143.411872720244,49142.94214473186,49143.52024667195
376,49141.73047518055,49150.623705642814,49143.88160070863,49142.94214473186,49143.81721374393
384,49141.946377871216,49150.623705642814,49145.760512662164,49145.29078467378,49145.44297027391
392,49143.9838089431,49150.623705642814,49146.23024065054,49145.29078467378,49146.29160064369
400,49144.18080551246,49150.623705642814,49145.995376656356,49145.29078467378,49146.52616148285
408,49143.16807231866,49150.623705642814,49145.29078467378,49145.29078467378,49144.581278654194
416,49144.0393900075,49150.623705642814,49146.46510464475,49145.29078467378,49146.265415896916
424,49145.27802138931,49150.623705642814,49148.578880592475,49147.6394246157,49148.86313470686
432,49145.49299272208,49150.623705642814,49148.81374458667,49147.6394246157,49147.669828313665
440,49147.56065026101,49150.623705642814,49148.578880592475,49147.6394246157,49149.56191341051
448,49146.03666884027,49150.623705642814,49148.34401659827,49147.6394246157,49147.81414848938
456,49145.59484330413,49150.623705642814,49147.6394246157,49147.6394246157,49147.61443103325
464,49144.583290937924,49150.623705642814,49146.23024065054,49145.29078467378,49146.863180873246
472,49142.80871567749,49150.623705642814,49144.11646470281,49145.29078467378,49144.06013020489
480,49141.24484797153,49150.623705642814,49143.17700872605,49142.94214473186,49144.87608676514
488,49142.35160397215,49150.623705642814,49143.646736714436,49142.94214473186,49143.66332952296
496,49140.59535839618,49150.623705642814,49142.70728073767,49142.94214473186,49142.72573201629
504,49139.16173844514,49150.623705642814,49141.53296076671,49140.59350478994,49142.09727512634
512,49141.726344204646,49150.623705642814,49143.646736714436,49142.94214473186,49143.77208111028
520,49142.48645631966,49150.623705642814,49144.35132869702,49145.29078467378,49144.64708588173
528,49142.093309911295,49150.623705642814,49144.11646470281,49145.29078467378,49144.186197942094
536,49143.63582458627,49150.623705642814,49144.821056685396,49145.29078467378,49145.02337161893
544,49144.739666291556,49150.623705642814,49147.6394246157,49147.6394246157,49146.77784076226
552,49146.75719153519,49150.623705642814,49149.04860858085,49149.98806455762,49148.23541341016
560,49146.46900543235,49150.623705642814,49148.81374458667,49149.98806455762,49148.88804631977
568,49147.22792306953,49150.623705642814,49147.87428860989,49147.6394246157,49148.32027640624
576,49144.44470801965,49150.623705642814,49146.934832633124,49147.6394246157,49146.337162645876
584,49145.55696331025,49150.623705642814,49147.87428860989,49147.6394246157,49146.87378813939
592,49145.309102199666,49150.623705642814,49147.169696627316,49147.6394246157,49147.59991460643
600,49143.17594288546,49150.623705642814,49144.821056685396,49145.29078467378,49145.9555533534
608,49143.9800452789,49150.623705642814,49145.05592067959,49145.29078467378,49146.0838001698
616,49143.871047471664,49150.623705642814,49144.821056685396,49145.29078467378,49145.27534910296
624,49143.61468449451,49150.623705642814,49145.29078467378,49145.29078467378,49147.16555509009
632,49145.40098214531,49150.623705642814,49146.69996863894,49147.6394246157,49147.36510243872
640,49142.74257074522,49150.623705642814,49145.29078467378,49145.29078467378,49144.922986599864
648,49141.7079674328,49150.623705642814,49143.88160070863,49142.94214473186,49144.63575641973
656,49141.56510641046,49150.623705642814,49144.58619269121,49145.29078467378,49144.36602034616
664,49142.165873700025,49150.623705642814,49144.35132869702,49145.29078467378,49144.884764735325
672,49141.33236793425,49150.623705642814,49144.11646470281,49145.29078467378,49143.88416675831
680,49141.75534614629,49150.623705642814,49145.760512662164,49145.29078467378,49145.58045864929
688,49143.93582812014,49150.623705642814,49146.69996863894,49147.6394246157,49145.79452227774
696,49145.43044771485,49150.623705642814,49147.6394246157,49147.6394246157,49147.73913365067
704,49144.96730741799,49150.623705642814,49146.46510464475,49147.6394246157,49146.57220606257
712,49145.299846881426,49150.623705642814,49146.69996863894,49147.6394246157,49146.79833200481
720,49142.62042390716,49150.623705642814,49144.35132869702,49145.29078467378,49145.486685867894
728,49142.428793765626,49150.623705642814,49143.88160070863,49142.94214473186,49144.41712293169
736,49142.36433602364,49150.623705642814,49143.88160070863,49142.94214473186,49144.86451614301
744,49143.35793843333,49150.623705642814,49145.52564866797,49145.29078467378,49145.65783954302
752,49143.07071396694,49150.623705642814,49144.821056685396,49145.29078467378,49144.86882959074
760,49143.64045380178,49150.623705642814,49144.35132869702,49145.29078467378,49145.85382401819
768,49143.460236548846,49150.623705642814,49145.05592067959,49145.29078467378,49145.030121191485
776,49143.665473114495,49150.623705642814,49144.11646470281,49145.29078467378,49144.53089888117
784,49143.38482913183,49150.623705642814,49144.821056685396,49145.29078467378,49145.53055894987
792,49142.83456423344,49150.623705642814,49145.05592067959,49145.29078467378,49144.0285642334
800,49143.962656838696,49150.623705642814,49145.05592067959,49145.29078467378,49145.92156317323
808,49142.79935366862,49150.623705642814,49144.35132869702,49145.29078467378,49145.184156583404
816,49142.3234952042,49150.623705642814,49144.58619269121,49145.29078467378,49144.01214814984
824,49143.72485936944,49150.623705642814,49145.52564866797,49145.29078467378,49145.99017147527
832,49144.770035202135,49150.623705642814,49147.6394246157,49147.6394246157,49147.42725769274
